chunk_id,doc,page,tags,char_count
axis_mortage_loan_p3_c0001,axis_mortage_loan,3,documents|legal,293
axis_mortage_loan_p3_c0002,axis_mortage_loan,3,general,675
axis_mortage_loan_p3_c0003,axis_mortage_loan,3,documents,502
axis_mortage_loan_p3_c0004,axis_mortage_loan,3,interest,412
axis_mortage_loan_p3_c0005,axis_mortage_loan,3,interest|documents,863
axis_mortage_loan_p3_c0006,axis_mortage_loan,3,penalty|interest|legal,530
axis_mortage_loan_p3_c0007,axis_mortage_loan,3,general,736
axis_mortage_loan_p3_c0008,axis_mortage_loan,3,interest,879
axis_mortage_loan_p3_c0009,axis_mortage_loan,3,general,602
axis_mortage_loan_p3_c0010,axis_mortage_loan,3,documents,915
axis_mortage_loan_p4_c0011,axis_mortage_loan,4,general,307
axis_mortage_loan_p4_c0012,axis_mortage_loan,4,interest|legal,608
axis_mortage_loan_p4_c0013,axis_mortage_loan,4,penalty|legal,391
axis_mortage_loan_p4_c0014,axis_mortage_loan,4,interest|documents,758
axis_mortage_loan_p4_c0015,axis_mortage_loan,4,legal,661
axis_mortage_loan_p4_c0016,axis_mortage_loan,4,interest|legal,396
axis_mortage_loan_p4_c0017,axis_mortage_loan,4,interest|legal,485
axis_mortage_loan_p4_c0018,axis_mortage_loan,4,penalty|interest,1004
axis_mortage_loan_p4_c0019,axis_mortage_loan,4,interest,1036
axis_mortage_loan_p4_c0020,axis_mortage_loan,4,penalty|documents,1421
axis_mortage_loan_p4_c0021,axis_mortage_loan,4,interest|documents,520
axis_mortage_loan_p5_c0022,axis_mortage_loan,5,penalty|documents,513
axis_mortage_loan_p5_c0023,axis_mortage_loan,5,penalty|interest,526
axis_mortage_loan_p5_c0024,axis_mortage_loan,5,penalty|interest|documents,866
axis_mortage_loan_p5_c0025,axis_mortage_loan,5,penalty|interest|documents,768
axis_mortage_loan_p5_c0026,axis_mortage_loan,5,penalty|interest|documents,615
axis_mortage_loan_p5_c0027,axis_mortage_loan,5,documents,1791
